"","DSSd00_1","DSSd00_2","DSSd00_3","DSSd07_1","DSSd07_2","DSSd07_3"
"Ap4s1",5,2,8,7,7,6
"Ap5b1",13,18,23,11,11,10
"Ap5m1",14,16,19,25,19,23
"Ap5s1",13,16,14,14,19,11
"Ap5z1",5,15,9,10,8,4
"Apaf1",11,10,7,23,27,48
"Apba1",2,9,11,5,7,5
"Apba3",37,46,41,21,19,17
"Apbb1",8,8,9,13,10,7
"Apbb1ip",7,5,4,6,18,7
"Apbb2",9,12,19,7,11,7
"Apc",82,69,67,70,72,84
"Apeh",82,78,83,79,94,51
"Apex1",17,13,14,21,29,16
"Aph1a",41,36,41,45,43,35
"Aph1b",6,8,12,4,9,13
"Api5",50,45,55,53,58,64
"Aplf",5,6,3,6,10,7
"Aplnr",4,7,8,10,5,8
"Aplp1",60,53,57,44,36,32
"Aplp2",195,221,234,207,256,240
"Apmap",30,23,30,28,18,31
"Apob",79,59,89,65,46,84
"Apobec1",19,14,3,13,15,17
"Apobec3",14,10,15,30,22,18
"Apoe",202,235,270,467,449,375
"Apol10a",61,93,66,95,81,112
"Apol6",5,8,10,12,14,17
"Apol7a",4,7,9,8,16,12
"Apool",18,9,13,9,9,23
"App",500,549,591,483,551,500
"Appbp2",48,32,36,48,41,56
"Appl1",53,52,50,77,61,77
"Appl2",47,73,58,47,55,56
"Aprt",55,71,51,75,84,68
"Aqp1",200,194,218,99,143,121
"Aqp11",32,23,38,18,27,28
"Aqp4",14,11,22,78,51,122
"Aqp8",58,2,17,70,25,35
"Aqr",35,33,38,43,31,43
"Araf",55,62,52,49,47,55
"Arap1",78,82,66,60,74,59
"Arap2",26,22,21,49,26,60
"Arcn1",126,98,111,146,139,114
"Areg",13,3,9,6,8,5
"Arel1",39,24,42,38,63,53
"Arf1",194,178,190,236,247,190
"Arf2",13,7,12,12,12,14
"Arf3",199,196,191,216,217,192
"Arf4",149,127,138,184,184,185
"Arf5",89,99,106,132,127,96
"Arf6",232,236,214,151,156,129
"Arfgap1",37,42,44,40,38,41
"Arfgap2",34,30,30,39,30,26
"Arfgap3",99,82,78,117,119,105
"Arfgef1",156,140,141,153,134,162
"Arfgef2",64,68,66,47,56,52
"Arfgef3",19,38,42,20,44,27
"Arfip1",12,7,10,9,12,9
"Arfip2",62,56,69,47,47,45
"Arfrp1",21,12,16,20,17,12
"Arg2",8,2,5,19,23,18
"Arglu1",32,16,20,27,17,26
"Arhgap1",65,58,74,70,76,60
"Arhgap10",7,10,14,12,5,7
"Arhgap11a",13,14,18,16,18,29
"Arhgap12",38,23,24,42,36,46
"Arhgap17",29,23,23,37,25,27
"Arhgap18",16,17,17,25,23,22
"Arhgap19",6,5,4,4,10,10
"Arhgap20",18,9,15,21,25,19
"Arhgap21",52,89,68,70,94,82
"Arhgap23",17,15,18,15,10,13
"Arhgap24",12,23,20,12,21,12
"Arhgap26",15,7,7,17,26,15
"Arhgap27",130,164,151,103,93,52
"Arhgap27os2",14,18,18,4,8,6
"Arhgap29",25,11,16,22,21,27
"Arhgap30",4,4,4,7,9,6
"Arhgap31",17,25,20,16,19,21
"Arhgap32",90,65,92,74,102,110
"Arhgap33",10,6,3,2,3,6
"Arhgap35",50,42,46,46,59,69
"Arhgap39",25,24,15,15,16,11
"Arhgap42",11,16,20,16,24,20
"Arhgap5",75,56,55,75,97,96
"Arhgdia",386,402,411,430,362,303
"Arhgdib",9,8,8,18,14,18
"Arhgef1",53,54,52,56,47,50
"Arhgef10",11,9,14,7,9,7
"Arhgef10l",32,40,28,49,35,35
"Arhgef11",57,66,56,64,76,56
"Arhgef12",85,79,99,73,73,65
"Arhgef16",104,99,93,134,115,94
